Indicator,Country,Date,value
"Cumulative number of probable Ebola cases",Senegal,2015-01-29,0.0
"Cumulative number of suspected Ebola cases",Senegal,2015-01-29,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-01-29,1.0
"Cumulative number of confirmed Ebola cases",Spain,2015-01-29,1.0
"Cumulative number of probable Ebola cases",Spain,2015-01-29,0.0
"Cumulative number of suspected Ebola cases",Spain,2015-01-29,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015-01-29,1.0
"Cumulative number of confirmed Ebola cases","United States of America",2015-01-29,4.0
"Cumulative number of probable Ebola cases","United States of America",2015-01-29,0.0
"Cumulative number of suspected Ebola cases","United States of America",2015-01-29,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases","United States of America",2015-01-29,4.0
"Cumulative number of confirmed Ebola deaths",Nigeria,2015-01-29,7.0
"Cumulative number of probable Ebola deaths",Nigeria,2015-01-29,1.0
"Cumulative number of suspected Ebola deaths",Nigeria,2015-01-29,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015-01-29,8.0
"Cumulative number of confirmed Ebola deaths",Senegal,2015-01-29,0.0
"Cumulative number of probable Ebola deaths",Senegal,2015-01-29,0.0
"Cumulative number of suspected Ebola deaths",Senegal,2015-01-29,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015-01-29,0.0
"Cumulative number of confirmed Ebola deaths",Spain,2015-01-29,0.0
"Cumulative number of probable Ebola deaths",Spain,2015-01-29,0.0
"Cumulative number of suspected Ebola deaths",Spain,2015-01-29,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015-01-29,0.0
"Cumulative number of confirmed Ebola deaths","United States of America",2015-01-29,1.0
"Cumulative number of probable Ebola deaths","United States of America",2015-01-29,0.0
"Cumulative number of suspected Ebola deaths","United States of America",2015-01-29,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","United States of America",2015-01-29,1.0
"Cumulative number of confirmed Ebola cases","United Kingdom",2015-01-30,1.0
"Cumulative number of probable Ebola cases","United Kingdom",2015-01-30,0.0
"Cumulative number of suspected Ebola cases","United Kingdom",2015-01-30,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","United Kingdom",2015-01-30,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-01-30,2920.0
"Cumulative number of confirmed Ebola cases",Guinea,2015-01-30,2575.0
"Cumulative number of probable Ebola cases",Guinea,2015-01-30,332.0
"Cumulative number of suspected Ebola cases",Guinea,2015-01-30,13.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-01-30,1913.0
"Cumulative number of confirmed Ebola deaths",Guinea,2015-01-30,1581.0
"Cumulative number of probable Ebola deaths",Guinea,2015-01-30,332.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-01-30,8643.0
"Cumulative number of confirmed Ebola cases",Liberia,2015-01-30,3138.0
"Cumulative number of probable Ebola cases",Liberia,2015-01-30,1864.0
"Cumulative number of suspected Ebola cases",Liberia,2015-01-30,3641.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-01-30,3700.0
"Cumulative number of confirmed, probable and suspected Ebola cases","Sierra Leone",2015-01-30,10561.0
"Cumulative number of confirmed Ebola cases","Sierra Leone",2015-01-30,7989.0
"Cumulative number of probable Ebola cases","Sierra Leone",2015-01-30,287.0
"Cumulative number of suspected Ebola cases","Sierra Leone",2015-01-30,2285.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","Sierra Leone",2015-01-30,3216.0
"Cumulative number of confirmed Ebola deaths","Sierra Leone",2015-01-30,2850.0
"Cumulative number of probable Ebola deaths","Sierra Leone",2015-01-30,208.0
"Cumulative number of suspected Ebola deaths","Sierra Leone",2015-01-30,158.0
"Cumulative number of confirmed, probable and suspected Ebola cases","United Kingdom",2015-01-30,1.0
"Cumulative number of confirmed Ebola cases",Mali,2015-01-30,7.0
"Cumulative number of probable Ebola cases",Mali,2015-01-30,1.0
"Cumulative number of suspected Ebola cases",Mali,2015-01-30,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015-01-30,6.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015-01-30,8.0
"Cumulative number of confirmed Ebola cases",Nigeria,2015-01-30,19.0
"Cumulative number of probable Ebola cases",Nigeria,2015-01-30,1.0
"Cumulative number of suspected Ebola cases",Nigeria,2015-01-30,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-01-30,20.0
"Cumulative number of confirmed Ebola cases",Senegal,2015-01-30,1.0
"Cumulative number of probable Ebola cases",Senegal,2015-01-30,0.0
"Cumulative number of suspected Ebola cases",Senegal,2015-01-30,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-01-30,1.0
"Cumulative number of confirmed Ebola cases",Spain,2015-01-30,1.0
"Cumulative number of probable Ebola cases",Spain,2015-01-30,0.0
"Cumulative number of suspected Ebola cases",Spain,2015-01-30,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015-01-30,1.0
"Cumulative number of confirmed Ebola cases","United States of America",2015-01-30,4.0
"Cumulative number of probable Ebola cases","United States of America",2015-01-30,0.0
"Cumulative number of suspected Ebola cases","United States of America",2015-01-30,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases","United States of America",2015-01-30,4.0
"Cumulative number of confirmed Ebola deaths",Nigeria,2015-01-30,7.0
"Cumulative number of probable Ebola deaths",Nigeria,2015-01-30,1.0
"Cumulative number of suspected Ebola deaths",Nigeria,2015-01-30,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015-01-30,8.0
"Cumulative number of confirmed Ebola deaths",Senegal,2015-01-30,0.0
"Cumulative number of probable Ebola deaths",Senegal,2015-01-30,0.0
"Cumulative number of suspected Ebola deaths",Senegal,2015-01-30,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015-01-30,0.0
"Cumulative number of confirmed Ebola deaths",Spain,2015-01-30,0.0
"Cumulative number of probable Ebola deaths",Spain,2015-01-30,0.0
"Cumulative number of suspected Ebola deaths",Spain,2015-01-30,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015-01-30,0.0
"Cumulative number of confirmed Ebola deaths","United States of America",2015-01-30,1.0
"Cumulative number of probable Ebola deaths","United States of America",2015-01-30,0.0
"Cumulative number of suspected Ebola deaths","United States of America",2015-01-30,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","United States of America",2015-01-30,1.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-02-02,2959.0
"Cumulative number of confirmed Ebola cases",Guinea,2015-02-02,2593.0
"Cumulative number of probable Ebola cases",Guinea,2015-02-02,342.0
"Cumulative number of suspected Ebola cases",Guinea,2015-02-02,24.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-02-02,1937.0
"Cumulative number of confirmed Ebola deaths",Guinea,2015-02-02,1595.0
"Cumulative number of probable Ebola deaths",Guinea,2015-02-02,342.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-02-02,8668.0
"Cumulative number of confirmed Ebola cases",Liberia,2015-02-02,3138.0
"Cumulative number of probable Ebola cases",Liberia,2015-02-02,1864.0
"Cumulative number of suspected Ebola cases",Liberia,2015-02-02,3666.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-02-02,3710.0
"Cumulative number of confirmed, probable and suspected Ebola cases","Sierra Leone",2015-02-02,10707.0
"Cumulative number of confirmed Ebola cases","Sierra Leone",2015-02-02,8042.0
"Cumulative number of probable Ebola cases","Sierra Leone",2015-02-02,287.0
"Cumulative number of suspected Ebola cases","Sierra Leone",2015-02-02,2378.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","Sierra Leone",2015-02-02,3274.0
"Cumulative number of confirmed Ebola deaths","Sierra Leone",2015-02-02,2908.0
"Cumulative number of probable Ebola deaths","Sierra Leone",2015-02-02,208.0
"Cumulative number of suspected Ebola deaths","Sierra Leone",2015-02-02,158.0
"Cumulative number of confirmed Ebola cases","United Kingdom",2015-02-02,1.0
"Cumulative number of probable Ebola cases","United Kingdom",2015-02-02,0.0
"Cumulative number of suspected Ebola cases","United Kingdom",2015-02-02,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","United Kingdom",2015-02-02,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases","United Kingdom",2015-02-02,1.0
"Cumulative number of confirmed Ebola cases",Mali,2015-02-02,7.0
"Cumulative number of probable Ebola cases",Mali,2015-02-02,1.0
"Cumulative number of suspected Ebola cases",Mali,2015-02-02,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015-02-02,6.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015-02-02,8.0
"Cumulative number of confirmed Ebola cases",Nigeria,2015-02-02,19.0
"Cumulative number of probable Ebola cases",Nigeria,2015-02-02,1.0
"Cumulative number of suspected Ebola cases",Nigeria,2015-02-02,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-02-02,20.0
"Cumulative number of confirmed Ebola cases",Senegal,2015-02-02,1.0
"Cumulative number of probable Ebola cases",Senegal,2015-02-02,0.0
"Cumulative number of suspected Ebola cases",Senegal,2015-02-02,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-02-02,1.0
"Cumulative number of confirmed Ebola cases",Spain,2015-02-02,1.0
"Cumulative number of probable Ebola cases",Spain,2015-02-02,0.0
"Cumulative number of suspected Ebola cases",Spain,2015-02-02,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015-02-02,1.0
"Cumulative number of confirmed Ebola cases","United States of America",2015-02-02,4.0
"Cumulative number of probable Ebola cases","United States of America",2015-02-02,0.0
"Cumulative number of suspected Ebola cases","United States of America",2015-02-02,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases","United States of America",2015-02-02,4.0
"Cumulative number of confirmed Ebola deaths",Nigeria,2015-02-02,7.0
"Cumulative number of probable Ebola deaths",Nigeria,2015-02-02,1.0
"Cumulative number of suspected Ebola deaths",Nigeria,2015-02-02,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015-02-02,8.0
"Cumulative number of confirmed Ebola deaths",Senegal,2015-02-02,0.0
"Cumulative number of probable Ebola deaths",Senegal,2015-02-02,0.0
"Cumulative number of suspected Ebola deaths",Senegal,2015-02-02,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015-02-02,0.0
"Cumulative number of confirmed Ebola deaths",Spain,2015-02-02,0.0
"Cumulative number of probable Ebola deaths",Spain,2015-02-02,0.0
"Cumulative number of suspected Ebola deaths",Spain,2015-02-02,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015-02-02,0.0
"Cumulative number of confirmed Ebola deaths","United States of America",2015-02-02,1.0
"Cumulative number of probable Ebola deaths","United States of America",2015-02-02,0.0
"Cumulative number of suspected Ebola deaths","United States of America",2015-02-02,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","United States of America",2015-02-02,1.0
"Cumulative number of confirmed Ebola cases","United Kingdom",2015-02-03,1.0
"Cumulative number of probable Ebola cases","United Kingdom",2015-02-03,0.0
"Cumulative number of suspected Ebola cases","United Kingdom",2015-02-03,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","United Kingdom",2015-02-03,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-02-03,2975.0
"Cumulative number of confirmed Ebola cases",Guinea,2015-02-03,2608.0
"Cumulative number of probable Ebola cases",Guinea,2015-02-03,347.0
"Cumulative number of suspected Ebola cases",Guinea,2015-02-03,20.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-02-03,1944.0
"Cumulative number of confirmed Ebola deaths",Guinea,2015-02-03,1597.0
"Cumulative number of probable Ebola deaths",Guinea,2015-02-03,347.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-02-03,8729.0
"Cumulative number of confirmed Ebola cases",Liberia,2015-02-03,3143.0
"Cumulative number of probable Ebola cases",Liberia,2015-02-03,1869.0
"Cumulative number of suspected Ebola cases",Liberia,2015-02-03,3717.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-02-03,3739.0
"Cumulative number of confirmed, probable and suspected Ebola cases","Sierra Leone",2015-02-03,10740.0
"Cumulative number of confirmed Ebola cases","Sierra Leone",2015-02-03,8059.0
"Cumulative number of probable Ebola cases","Sierra Leone",2015-02-03,287.0
"Cumulative number of suspected Ebola cases","Sierra Leone",2015-02-03,2394.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","Sierra Leone",2015-02-03,3276.0
"Cumulative number of confirmed Ebola deaths","Sierra Leone",2015-02-03,2910.0
"Cumulative number of probable Ebola deaths","Sierra Leone",2015-02-03,208.0
"Cumulative number of suspected Ebola deaths","Sierra Leone",2015-02-03,158.0
"Cumulative number of confirmed, probable and suspected Ebola cases","United Kingdom",2015-02-03,1.0
"Cumulative number of confirmed Ebola cases",Mali,2015-02-03,7.0
"Cumulative number of probable Ebola cases",Mali,2015-02-03,1.0
"Cumulative number of suspected Ebola cases",Mali,2015-02-03,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015-02-03,6.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015-02-03,8.0
"Cumulative number of confirmed Ebola cases",Nigeria,2015-02-03,19.0
"Cumulative number of probable Ebola cases",Nigeria,2015-02-03,1.0
"Cumulative number of suspected Ebola cases",Nigeria,2015-02-03,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-02-03,20.0
"Cumulative number of confirmed Ebola cases",Senegal,2015-02-03,1.0
"Cumulative number of probable Ebola cases",Senegal,2015-02-03,0.0
"Cumulative number of suspected Ebola cases",Senegal,2015-02-03,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-02-03,1.0
"Cumulative number of confirmed Ebola cases",Spain,2015-02-03,1.0
"Cumulative number of probable Ebola cases",Spain,2015-02-03,0.0
"Cumulative number of suspected Ebola cases",Spain,2015-02-03,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015-02-03,1.0
"Cumulative number of confirmed Ebola cases","United States of America",2015-02-03,4.0
"Cumulative number of probable Ebola cases","United States of America",2015-02-03,0.0
"Cumulative number of suspected Ebola cases","United States of America",2015-02-03,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases","United States of America",2015-02-03,4.0
"Cumulative number of confirmed Ebola deaths",Nigeria,2015-02-03,7.0
"Cumulative number of probable Ebola deaths",Nigeria,2015-02-03,1.0
"Cumulative number of suspected Ebola deaths",Nigeria,2015-02-03,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015-02-03,8.0
"Cumulative number of confirmed Ebola deaths",Senegal,2015-02-03,0.0
"Cumulative number of probable Ebola deaths",Senegal,2015-02-03,0.0
"Cumulative number of suspected Ebola deaths",Senegal,2015-02-03,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015-02-03,0.0
"Cumulative number of confirmed Ebola deaths",Spain,2015-02-03,0.0
"Cumulative number of probable Ebola deaths",Spain,2015-02-03,0.0
"Cumulative number of suspected Ebola deaths",Spain,2015-02-03,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015-02-03,0.0
"Cumulative number of confirmed Ebola deaths","United States of America",2015-02-03,1.0
"Cumulative number of probable Ebola deaths","United States of America",2015-02-03,0.0
"Cumulative number of suspected Ebola deaths","United States of America",2015-02-03,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","United States of America",2015-02-03,1.0
"Cumulative number of confirmed Ebola cases","United Kingdom",2015-02-04,1.0
"Cumulative number of probable Ebola cases","United Kingdom",2015-02-04,0.0
"Cumulative number of suspected Ebola cases","United Kingdom",2015-02-04,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","United Kingdom",2015-02-04,0.0
"Cumulative number of confirmed Ebola cases",Guinea,2015-02-04,2608.0
"Cumulative number of probable Ebola cases",Guinea,2015-02-04,347.0
"Cumulative number of suspected Ebola cases",Guinea,2015-02-04,20.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-02-04,2975.0
"Number of confirmed Ebola cases in the last 21 days",Guinea,2015-02-04,89.0
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Guinea,2015-02-04,89.0
"Cumulative number of confirmed Ebola deaths",Guinea,2015-02-04,1597.0
"Cumulative number of probable Ebola deaths",Guinea,2015-02-04,347.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-02-04,1944.0
"Cumulative number of confirmed Ebola cases",Liberia,2015-02-04,3143.0
"Cumulative number of probable Ebola cases",Liberia,2015-02-04,1870.0
"Cumulative number of suspected Ebola cases",Liberia,2015-02-04,3732.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-02-04,8745.0
"Number of confirmed Ebola cases in the last 21 days",Liberia,2015-02-04,17.0
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Liberia,2015-02-04,17.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-02-04,3746.0
"Cumulative number of confirmed Ebola cases","Sierra Leone",2015-02-04,8059.0
"Cumulative number of probable Ebola cases","Sierra Leone",2015-02-04,287.0
"Cumulative number of suspected Ebola cases","Sierra Leone",2015-02-04,2394.0
"Cumulative number of confirmed, probable and suspected Ebola cases","Sierra Leone",2015-02-04,10740.0
"Number of confirmed Ebola cases in the last 21 days","Sierra Leone",2015-02-04,262.0
"Number of confirmed, probable and suspected Ebola cases in the last 21 days","Sierra Leone",2015-02-04,262.0
"Cumulative number of confirmed Ebola deaths","Sierra Leone",2015-02-04,2910.0
"Cumulative number of probable Ebola deaths","Sierra Leone",2015-02-04,208.0
"Cumulative number of suspected Ebola deaths","Sierra Leone",2015-02-04,158.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","Sierra Leone",2015-02-04,3276.0
"Cumulative number of confirmed, probable and suspected Ebola cases","United Kingdom",2015-02-04,1.0
"Cumulative number of confirmed Ebola cases",Mali,2015-02-04,7.0
"Cumulative number of probable Ebola cases",Mali,2015-02-04,1.0
"Cumulative number of suspected Ebola cases",Mali,2015-02-04,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015-02-04,6.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015-02-04,8.0
"Cumulative number of confirmed Ebola cases",Nigeria,2015-02-04,19.0
"Cumulative number of probable Ebola cases",Nigeria,2015-02-04,1.0
"Cumulative number of suspected Ebola cases",Nigeria,2015-02-04,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-02-04,20.0
"Cumulative number of confirmed Ebola cases",Senegal,2015-02-04,1.0
"Cumulative number of probable Ebola cases",Senegal,2015-02-04,0.0
"Cumulative number of suspected Ebola cases",Senegal,2015-02-04,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-02-04,1.0
"Cumulative number of confirmed Ebola cases",Spain,2015-02-04,1.0
"Cumulative number of probable Ebola cases",Spain,2015-02-04,0.0
"Cumulative number of suspected Ebola cases",Spain,2015-02-04,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015-02-04,1.0
"Cumulative number of confirmed Ebola cases","United States of America",2015-02-04,4.0
"Cumulative number of probable Ebola cases","United States of America",2015-02-04,0.0
"Cumulative number of suspected Ebola cases","United States of America",2015-02-04,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases","United States of America",2015-02-04,4.0
"Cumulative number of confirmed Ebola deaths",Nigeria,2015-02-04,7.0
"Cumulative number of probable Ebola deaths",Nigeria,2015-02-04,1.0
"Cumulative number of suspected Ebola deaths",Nigeria,2015-02-04,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015-02-04,8.0
"Cumulative number of confirmed Ebola deaths",Senegal,2015-02-04,0.0
"Cumulative number of probable Ebola deaths",Senegal,2015-02-04,0.0
"Cumulative number of suspected Ebola deaths",Senegal,2015-02-04,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015-02-04,0.0
"Cumulative number of confirmed Ebola deaths",Spain,2015-02-04,0.0
"Cumulative number of probable Ebola deaths",Spain,2015-02-04,0.0
"Cumulative number of suspected Ebola deaths",Spain,2015-02-04,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015-02-04,0.0
"Cumulative number of confirmed Ebola deaths","United States of America",2015-02-04,1.0
"Cumulative number of probable Ebola deaths","United States of America",2015-02-04,0.0
"Cumulative number of suspected Ebola deaths","United States of America",2015-02-04,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","United States of America",2015-02-04,1.0
"Cumulative number of confirmed Ebola cases","United Kingdom",2015-02-05,1.0
"Cumulative number of probable Ebola cases","United Kingdom",2015-02-05,0.0
"Cumulative number of suspected Ebola cases","United Kingdom",2015-02-05,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","United Kingdom",2015-02-05,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-02-05,2986.0
"Cumulative number of confirmed Ebola cases",Guinea,2015-02-05,2621.0
"Cumulative number of probable Ebola cases",Guinea,2015-02-05,347.0
"Cumulative number of suspected Ebola cases",Guinea,2015-02-05,18.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-02-05,1947.0
"Cumulative number of confirmed Ebola deaths",Guinea,2015-02-05,1600.0
"Cumulative number of probable Ebola deaths",Guinea,2015-02-05,347.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-02-05,8745.0
"Cumulative number of confirmed Ebola cases",Liberia,2015-02-05,3143.0
"Cumulative number of probable Ebola cases",Liberia,2015-02-05,1870.0
"Cumulative number of suspected Ebola cases",Liberia,2015-02-05,3732.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-02-05,3746.0
"Cumulative number of confirmed, probable and suspected Ebola cases","Sierra Leone",2015-02-05,10756.0
"Cumulative number of confirmed Ebola cases","Sierra Leone",2015-02-05,8063.0
"Cumulative number of probable Ebola cases","Sierra Leone",2015-02-05,287.0
"Cumulative number of suspected Ebola cases","Sierra Leone",2015-02-05,2406.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","Sierra Leone",2015-02-05,3286.0
"Cumulative number of confirmed Ebola deaths","Sierra Leone",2015-02-05,2920.0
"Cumulative number of probable Ebola deaths","Sierra Leone",2015-02-05,208.0
"Cumulative number of suspected Ebola deaths","Sierra Leone",2015-02-05,158.0
"Cumulative number of confirmed, probable and suspected Ebola cases","United Kingdom",2015-02-05,1.0
"Cumulative number of confirmed Ebola cases",Mali,2015-02-05,7.0
"Cumulative number of probable Ebola cases",Mali,2015-02-05,1.0
"Cumulative number of suspected Ebola cases",Mali,2015-02-05,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015-02-05,6.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015-02-05,8.0
"Cumulative number of confirmed Ebola cases",Nigeria,2015-02-05,19.0
"Cumulative number of probable Ebola cases",Nigeria,2015-02-05,1.0
"Cumulative number of suspected Ebola cases",Nigeria,2015-02-05,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-02-05,20.0
"Cumulative number of confirmed Ebola cases",Senegal,2015-02-05,1.0
"Cumulative number of probable Ebola cases",Senegal,2015-02-05,0.0
"Cumulative number of suspected Ebola cases",Senegal,2015-02-05,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-02-05,1.0
"Cumulative number of confirmed Ebola cases",Spain,2015-02-05,1.0
"Cumulative number of probable Ebola cases",Spain,2015-02-05,0.0
"Cumulative number of suspected Ebola cases",Spain,2015-02-05,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015-02-05,1.0
"Cumulative number of confirmed Ebola cases","United States of America",2015-02-05,4.0
"Cumulative number of probable Ebola cases","United States of America",2015-02-05,0.0
"Cumulative number of suspected Ebola cases","United States of America",2015-02-05,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases","United States of America",2015-02-05,4.0
"Cumulative number of confirmed Ebola deaths",Nigeria,2015-02-05,7.0
"Cumulative number of probable Ebola deaths",Nigeria,2015-02-05,1.0
"Cumulative number of suspected Ebola deaths",Nigeria,2015-02-05,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015-02-05,8.0
"Cumulative number of confirmed Ebola deaths",Senegal,2015-02-05,0.0
"Cumulative number of probable Ebola deaths",Senegal,2015-02-05,0.0
"Cumulative number of suspected Ebola deaths",Senegal,2015-02-05,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015-02-05,0.0
"Cumulative number of confirmed Ebola deaths",Spain,2015-02-05,0.0
"Cumulative number of probable Ebola deaths",Spain,2015-02-05,0.0
"Cumulative number of suspected Ebola deaths",Spain,2015-02-05,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015-02-05,0.0
"Cumulative number of confirmed Ebola deaths","United States of America",2015-02-05,1.0
"Cumulative number of probable Ebola deaths","United States of America",2015-02-05,0.0
"Cumulative number of suspected Ebola deaths","United States of America",2015-02-05,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","United States of America",2015-02-05,1.0
"Cumulative number of confirmed Ebola cases","United Kingdom",2015-02-06,1.0
"Cumulative number of probable Ebola cases","United Kingdom",2015-02-06,0.0
"Cumulative number of suspected Ebola cases","United Kingdom",2015-02-06,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","United Kingdom",2015-02-06,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-02-06,2988.0
"Cumulative number of confirmed Ebola cases",Guinea,2015-02-06,2628.0
"Cumulative number of probable Ebola cases",Guinea,2015-02-06,349.0
"Cumulative number of suspected Ebola cases",Guinea,2015-02-06,11.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-02-06,1957.0
"Cumulative number of confirmed Ebola deaths",Guinea,2015-02-06,1608.0
"Cumulative number of probable Ebola deaths",Guinea,2015-02-06,349.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-02-06,8745.0
"Cumulative number of confirmed Ebola cases",Liberia,2015-02-06,3143.0
"Cumulative number of probable Ebola cases",Liberia,2015-02-06,1870.0
"Cumulative number of suspected Ebola cases",Liberia,2015-02-06,3732.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-02-06,3746.0
"Cumulative number of confirmed, probable and suspected Ebola cases","Sierra Leone",2015-02-06,10792.0
"Cumulative number of confirmed Ebola cases","Sierra Leone",2015-02-06,8084.0
"Cumulative number of probable Ebola cases","Sierra Leone",2015-02-06,287.0
"Cumulative number of suspected Ebola cases","Sierra Leone",2015-02-06,2421.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","Sierra Leone",2015-02-06,3301.0
"Cumulative number of confirmed Ebola deaths","Sierra Leone",2015-02-06,2935.0
"Cumulative number of probable Ebola deaths","Sierra Leone",2015-02-06,208.0
"Cumulative number of suspected Ebola deaths","Sierra Leone",2015-02-06,158.0
"Cumulative number of confirmed, probable and suspected Ebola cases","United Kingdom",2015-02-06,1.0
"Cumulative number of confirmed Ebola cases",Mali,2015-02-06,7.0
"Cumulative number of probable Ebola cases",Mali,2015-02-06,1.0
"Cumulative number of suspected Ebola cases",Mali,2015-02-06,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015-02-06,6.0
